,True Captions,RNN With Dropout Layers,RNN Without Dropout,LogisticDecoder
103106960_e8a41d64f8.jpg,"['a boy with a stick kneeling in front of a goalie net', 'a child in a red jacket playing street hockey guarding a goal', 'a young kid playing the goalie in a hockey rink', 'a young male kneeling in front of a hockey goal with a hockey stick in his right hand', 'hockey goalie boy in red jacket crouches by goal with stick']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,two girl wearing on brown red curb with white white basketball a building black jeans
103195344_5d2dc613a3.jpg,"['a man in black is sitting next to a modern art structure in front of a glass building', 'a man sits and reads a newspaper by a sculpture outside of an office building', 'a man sits near a large statue', 'a man sitting in front of a metal sculpture in front of a building', 'the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading']",a happy skater leaps on a large staircase,a toddler stands on a yellow and yellow playground set,dog large of is the is jumping in white outdoors pictures of a a metal
103205630_682ca7285b.jpg,"['a tent is being set up on the ice', 'two men are about to enter an ice fishing tent on a snow covered lake', 'two men setting up a blue ice fishing hut on an iced over lake', 'two men standing on an ice looking into something covered with a blue tarp', 'two people standing outside a blue tent structure on a snowy surface']",a wakeboarder sits on a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a man in in blue snowboard next ocean beach on on a fishing of a
1042020065_fb3d3ba5ba.jpg,"['a boy in a green shirt is looking down at many inflatable boats', 'a boy in a green shirt watches kayakers', 'a boy looks over a railing at the many boats and rafts below in the water', 'a young boy overlooking a crowd of inflatable boats', 'a young boy wearing a jersey looks down over a ledge at many boats in the water']",a closeup of a man in a straw jacket jumps a three-wheeled banner,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a group of while at are fountain in a is from of on a
107318069_e9f2ef32de.jpg,"['a crowd watching air balloons at night', 'a group of hot air balloons lit up at night', 'people are watching hot air balloons in the park', 'people watching hot air balloons', 'seven large balloons are lined up at nighttime near a crowd']",a male jumps over a rock,a bride eats which is sitting in front of one man who has a red hat on and holding a baseball wearing a pink kayak in the dark,the group of a orange a bandanna ground while day sun a in two blue
1075881101_d55c46bece.jpg,"['a boy cleans the bubbles off his face', 'a boy covered in suds has his face wiped clean', 'a boy is covered in bubbles', 'a child covered in foam is climbing on a black inflatable ramp', 'a person covered in soapy water is getting cleaned off']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a group in is at yellow basketball in beach a while the hand paper on
1082379191_ec1e53f996.jpg,"['a lady and a man with no shirt sit on a dock', 'a man and a woman are sitting on a dock together', 'a man and a woman sitting on a dock', 'a man and woman sitting on a deck next to a lake', 'a shirtless man and a woman sitting on a dock']",a male jumps over a rock,a lone climber and a man in song carrying faces,an man man a shorts
1087539207_9f77ab3aaf.jpg,"['a family playing on a tractor on a beautiful day', 'children ride a tractor in a field', 'several children playing on a polaris vehicle outdoors', 'the children played on the four wheeler in the field', 'the four kids are riding on an atv in a field']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,the girl girl is swimsuit shirt jump dresses truck dirt a an a background
108899015_bf36131a57.jpg,"['a lone skier is making their way up a mountain', 'skiiers at the top of a snow covered hill', 'two hikers climbing a snowy hill', 'two people are on a snow-covered mountain', 'two people climbing up a snowy mountain']",a lone snowboarder rides a mountain in field,a hiker doing a jump in a competition covered with a mean print camera,a person in a a on untouched mouse is downhill theater older the
1089755335_0bfbfd30e6.jpg,"['a mother and children is fishing on a boardwalk at night', 'a woman and three children stand on a deck with a fishing pole', 'a woman stands with children on a boardwalk at night overlooking the sea', 'some people on a pier at night with one girl fishing off it', 'woman with three children fishing over boardwalk in the evening']",a few men stand in a blue towel by the water as they jumping in a city,a cowboy holds a yellow boat,woman group sits at in walks beach pier standing bridge looking a the
